name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
,,,,,,,,,,
Black Sails - The Ghost Ship,30,Deck13,Deck13,29145,16279,0,2.55,52,69,0.33
,,,,,,,,,,
Streamer Simulator,0,,,795,0,0,0.16,108,79.2,43.81
,,,,,,,,,,
First Strike: Final Hour,65,Blindflug Studios AG,Blindflug Studios AG,14441,12341,0,7.29,43,51,1806.25
,,,,,,,,,,
Unforgiving Trials: The Darkest Crusade,21,Amaterasu Software,Amaterasu Software,552440,399626,5514,1.82,318,113,264.5
,,,,,,,,,,
Sam & Max 201: Ice Station Santa,74,Telltale Games,Telltale Games,268868,45161,0,9,-1,0,-1
,,,,,,,,,,
HassleHeart,12,Santa Clara Games,Badland Games,22318,3151,0,1.24,45,149.29,8208.99
,,,,,,,,,,
4-in-1 IQ Scale Bundle,,ALEKSANDER CHEPAIKIN,ALEKSANDER CHEPAIKIN,795,0,0,0,-1,0,-1
,,,,,,,,,,
Bowl VR,11,Carbon Fiber Games,Carbon Fiber Games,1575,1050,0,1.14,108,114,400
,,,,,,,,,,
Catorize,0,Anima Locus,Anima Locus,7560,3650,0,0.15,775,23,40.5
,,,,,,,,,,
Happy Maze,42,DoshMallow Games,Fresh Wind Software,52776,51463,1575,3.71,17,53.2,6.73
,,,,,,,,,,
Vector Velocity,,David Mulder,Red Splat Games,785,785,785,0,77,0,-1
,,,,,,,,,,
Unity of Command: Stalingrad Campaign,51,2x2 Games,"Dvaput, 2x2 Games",102138,60915,0,4.84,42,52.5,8.51
,,,,,,,,,,
Blackwood Crossing,53,PaperSeven LTD,Vision Games Publishing LTD,6564,2363,0,4.97,44,45.5,798.06
,,,,,,,,,,
NEStalgia,31,Silk Games,Silk Games,32821,22318,0,2.62,79,132.1,450.24
,,,,,,,,,,
Warlocks vs Shadows,21,Frozen District,ONE MORE LEVEL,32064,23722,785,1.82,445,62,4.9
,,,,,,,,,,
RocketGirl,,SoftwareByEugene LLC,SoftwareByEugene LLC,785,785,0,0,-1,0,-1
,,,,,,,,,,
Squish and the Corrupted Crystal,,Cheat Code Studios,Cheat Code Studios,3948,0,0,0,185,0,-1
,,,,,,,,,,
Spelunx and the Caves of Mr. Seudo,51,Cyan Worlds,Cyan Worlds,63541,11290,0,4.67,-1,0,-1
,,,,,,,,,,
Heroes of Normandie,30,Cat Rabbit,Slitherine Ltd.,11815,10503,0,2.49,51,81.5,65.03
,,,,,,,,,,
Near Midnight,7,Indie Dynamics,Indie Dynamics,2101,0,0,0.91,484,38,0
,,,,,,,,,,
Uncharted Waters Online: Age of Revolution,24,"KOEI TECMO GAMES CO., LTD.",OGPlanet,278583,111853,795,2.1,-1,0,-1
,,,,,,,,,,
The Lost Mythologies,25,Basaltic studio,Basaltic studio,273196,162405,778,2.23,-1,0,-1
,,,,,,,,,,
Azkend 2: The World Beneath,,10tons Ltd,10tons Ltd,1184,0,0,0,108,74.75,50.77
,,,,,,,,,,
Hatch and Slay,11,Myrolit Studios,Myrolit Studios,17466,9385,0,1.18,413,185,72
,,,,,,,,,,
Prison Run and Gun,78,Quantized Bit,Quantized Bit,13556,8863,0,10.16,-1,0,-1
,,,,,,,,,,
AI War: Fleet Command,56,"Arcen Games, LLC","Arcen Games, LLC",435335,247338,1575,5.56,44,51.1,0.68
,,,,,,,,,,
Vengeance: Lost Love,,Urchin Games,Impossible Mystery Games,2384,0,0,0,108,0,-1
,,,,,,,,,,
Agricultural Simulator 2013 - Steam Edition,1,Actalogic,United Independent Entertainment GmbH,112116,51726,0,0.3,410,118.09,627.65
,,,,,,,,,,
Demon Hunter 2: New Chapter,25,Brave Giant LTD,Artifex Mundi,26782,15491,785,2.2,108,57.88,221.81
,,,,,,,,,,
DREAMFLIGHT VR,6,"REFUGIO3Då¨, Claudio Panzanaro","REFUGIO3Då¨, Claudio Panzanaro",4989,790,0,0.83,971,22,0
,,,,,,,,,,
Signal to Noise,16,Solanimus Inc.,Solanimus Inc.,8603,4692,0,1.5,44,128.83,1345
,,,,,,,,,,
Just Cause 2,82,Avalanche Studios,Square Enix,4356794,3452224,39624,11.6,43,42.62,19.97
,,,,,,,,,,
Myst V,19,Cyan Worlds,Cyan Worlds,61966,28620,1570,1.77,108,107.89,5.37
,,,,,,,,,,
Moustache Mountain,23,Nauris Amatnieks,Nauris Amatnieks,14859,8863,0,1.94,108,64.11,223.89
,,,,,,,,,,
Hack Time,,i273 LLC,i273 LLC,3151,784,0,0,-1,0,-1
,,,,,,,,,,
Anomaly 2,51,11 bit studios,11 bit studios,336873,138110,1961,4.66,42,80.67,2.8
,,,,,,,,,,
(Chinese PaladinSword and Fairy 6),,"Softstar Technology (Beijing) Co.,Ltd","Beijing New Era Network Technology Co., Ltd.",6039,4989,0,0,-1,0,-1
,,,,,,,,,,
VRQB,23,"After Sunset Games, LLC","After Sunset Games, LLC",1825,785,0,2,12,73.2,27.85
,,,,,,,,,,
The Promethium Effect - The Idle Clicker MMO,7,Zendo Games,Zendo Games,795,0,0,0.86,-1,0,-1
,,,,,,,,,,
Knife Battles,23,NYF,NYF,24681,1838,784,2,12,31,50
,,,,,,,,,,
Cabela's Hunting Expeditions,1,Fun Labs,Activision,9452,6564,0,0.38,120,75.79,76.3
,,,,,,,,,,
Warside,21,Kraken Games,Kraken Games,181959,71418,0,1.8,-1,0,-1
,,,,,,,,,,
Moonbase 332,2,PatchNoteStudio,PatchNoteStudio,27111,22940,785,0.45,158,71.5,93.03
,,,,,,,,,,
Angel Flare,,Kuchnier Games,Kuchnier Games,795,0,0,0,110,35,0
,,,,,,,,,,
Yozora Rhapsody,,Yume Creations,Yume Creations,28882,28357,27832,0,226,104,0
,,,,,,,,,,
Mystery Case Files: 13th Skull Collector's Edition,100,Big Fish Games,Big Fish Games,2101,1578,0,1,45,73.4,2230.27
,,,,,,,,,,
Sine Mora,49,Digital Reality,THQ Nordic,228880,117047,0,4.54,-1,0,-1
,,,,,,,,,,
So Many Me,89,Extend Studio,ORiGO GAMES,4464,4201,0,18,227,71.47,6.06
,,,,,,,,,,
Zup! Zero,82,Quiet River,Quiet River,73781,55927,2764,12.24,45,43.33,200.3
,,,,,,,,,,
Alien Carnage / Halloween Harry,11,"Interactive Binary Illusions, SubZero Software",3D Realms (Apogee Software),60478,5474,0,1.2,-1,0,-1
,,,,,,,,,,
The Slimeking's Tower,67,CodeManu,RevampedPRO,5214,4171,0,8,-1,0,-1
,,,,,,,,,,
Pole Position 2012,0,Destrax Games,Assemble Entertainment,32558,15229,0,0.14,410,85.15,3.32
,,,,,,,,,,
SaberSaw VR,,James Oliver,Destined,1562,0,0,0,396,119,0
,,,,,,,,,,
Biozone,1,G5 Entertainment,"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",1184,1589,0,0.4,410,168.77,31.48
,,,,,,,,,,
All Alone: VR,14,8bit,Bitlock Studio,78245,76669,1575,1.4,108,77.67,392.93
,,,,,,,,,,
Infinite Scuba,,Cascade Game Foundry SPC,Cascade Game Foundry SPC,1050,795,0,0,226,0,-1
,,,,,,,,,,
Xemo : Robot Simulation,49,Xemory LLC,Xemory LLC,4726,1838,0,4.5,-1,0,-1
,,,,,,,,,,
A Boy and His Blob,23,"Abstraction Games, WayForward","Midnight City, Majesco",108703,52251,1589,2.03,43,100,937.29
,,,,,,,,,,
Fireburst,9,exDream,Strategy First,32846,13034,0,1,88,53.24,16.14
,,,,,,,,,,
Residue: Final Cut,24,The Working Parts,The Working Parts,36759,21005,0,2.04,44,103.83,14.45
,,,,,,,,,,
Mahjong Challenge,,Boogygames Studios,Boogygames Studios,1589,0,0,0,95,67,0
,,,,,,,,,,
Liftoff,56,LuGus Studios,LuGus Studios,58290,57240,8665,5.4,43,96.29,18.2
,,,,,,,,,,
The Game of Life,2,Virtuos,PopCap,7089,6564,0,0.44,108,142.8,1435.2
,,,,,,,,,,
Deadly Traps,,BT Studios,BT Studios,3946,784,0,0,25,27.8,194.69
,,,,,,,,,,
GoalkeepVr,56,DigitalBadger Design,DigitalBadger Design,3389,1176,784,5.33,43,72.2,0.01
,,,,,,,,,,
Card City Nights,74,Ludosity,Ludosity,137585,79295,1579,9.61,42,93.53,66.01
,,,,,,,,,,
Battlefleet Gothic: Armada,27,Tindalos Interactive,Focus Home Interactive,262304,244187,9452,2.28,157,65.33,1194.09
,,,,,,,,,,
Box Looter 2018,42,Ludo Land,Ludo Land,789,0,0,3.67,73,0,-1
,,,,,,,,,,
King of the World,92,Contec Games,Contec Games,2384,1589,0,22,44,44.25,268.14
,,,,,,,,,,
Escape: Sierra Leone,25,Reborn Games Inc.,Reborn Games Inc.,1589,795,0,2.21,186,83,56.33
,,,,,,,,,,
Dark Eden Origin,3,SOFTON ENTERTAINMENT,SOFTON ENTERTAINMENT,20743,10765,1570,0.54,-1,0,-1
,,,,,,,,,,
Bryan Audley's Numbers,53,SUNSET GAMES,Siberian Digital,3938,790,0,5,18,66,0
,,,,,,,,,,
The Dream Collector,62,Pinta Studios,Pinta Studios,2384,1589,0,6.25,53,0,-1
,,,,,,,,,,
Catacombs of the Undercity,53,Tin Man Games,Tin Man Games,5922,3553,0,5,49,117.83,4601.89
,,,,,,,,,,
NoLimits 2 Roller Coaster Simulation,74,Ole Lange,Mad Data GmbH & Co. KG,29933,28620,3413,9.94,43,79.86,132.95
,,,,,,,,,,
Final DOOM,65,id Software,id Software,474182,146504,3910,7.11,42,65.36,391.98
,,,,,,,,,,
BRKUT,100,"Fisher Wagg, Simon Wagg, Aaron Taylor",Stupid Massive Unbelievable Games,795,0,0,12,44,47.5,36.12
,,,,,,,,,,
Zombie Estate 2,99,Sad Spaghetti Entertainment,Sad Spaghetti Entertainment,7299,7038,1171,101,43,61.33,1351.15
,,,,,,,,,,
Command & Conquer: Red Alert 3 - Uprising,42,EA Los Angeles,Electronic Arts,1202555,437961,7614,3.66,43,60.71,66.16
,,,,,,,,,,
The Puppet Master,51,AMS Game Development Association,AMS Game Development Association,17067,4464,0,4.83,-1,0,-1
,,,,,,,,,,
Last Day of June,86,Ovosonico,505 Games,21530,14441,2626,13.46,24,34.25,375.39
,,,,,,,,,,
Origin Of Destiny: Crimson Awakening,31,CloudTheWolf Games,CloudTheWolf Games,49100,9715,0,2.58,-1,0,-1
,,,,,,,,,,
Vampire: The Masquerade - Redemption,78,Nihilistic Software,Activision,13916,6564,1184,10.88,44,61.75,4.52
,,,,,,,,,,
Clans,18,Computerhouse,Strategy First,20218,3938,0,1.68,109,45.59,8.19
,,,,,,,,,,
Pro Gamer Manager 2,1,Millenway,Millenway,38860,11028,784,0.28,127,0,-1
,,,,,,,,,,
SOS: SPECIAL OPERATIVE STORIES,100,ATTACK MOUNTAIN,ATTACK MOUNTAIN,789,0,0,8,107,122.5,0.12
,,,,,,,,,,
Clutch,21,Targem Games,Game Factory Interactive,26329,10949,0,1.83,53,146.2,2426.98
,,,,,,,,,,
The Wonderful End of the World,35,"Dejobaan Games, LLC","Dejobaan Games, LLC",120255,69580,0,2.95,32,82.77,7.48
,,,,,,,,,,
Spice Road,27,Aartform Games,Aartform Games,8665,6564,0,2.27,108,47.41,3.41
,,,,,,,,,,
Galactic Arms Race,11,Evolutionary Games,Evolutionary Games,59957,25547,778,1.21,231,137.75,5.7
,,,,,,,,,,
TREBUCHET,49,iconical Ltd.,iconical Ltd.,10765,1176,0,4.4,57,61.57,2.1
,,,,,,,,,,
Hailstorm,,SlimeQ,SlimeQ,1172,1172,0,0,12,51.5,171.12
,,,,,,,,,,
Skylar & Plux: Adventure On Clover Island,62,"Right Nice Games, Grip Digital",Grip Digital,4953,3389,784,6.44,43,54,240.25
,,,,,,,,,,
Labyrinth Simulator,18,Phoenix Game and Publisher Studio,Phoenix Game and Publisher Studio,14966,8402,0,1.66,231,115.6,1641.67
,,,,,,,,,,
VilleTown,62,Laugical Games,Laugical Games,789,0,0,6.5,232,138.5,1035.12
,,,,,,,,,,
I am Setsuna,35,Tokyo RPG Factory,Square Enix,70893,61703,2888,2.87,42,56,104.14
,,,,,,,,,,
OVERKILL's The Walking Dead,,OVERKILL - A Starbreeze Studio,Starbreeze Publishing AB,785,0,0,0,-1,0,-1
,,,,,,,,,,
Hooligan Vasja,30,Trident Game Studio,Trident Game Studio,96453,88111,2346,2.48,165,74.6,0.51
,,,,,,,,,,
Production Line,59,Positech Games,Positech Games,28620,26519,3938,5.74,-1,0,-1
,,,,,,,,,,
RED Fuse: Rolling Explosive Device,100,Meteor Shock,Meteor Shock,7614,4989,0,6,228,145.25,2983.89
,,,,,,,,,,
Rambo The Video Game: Baker Team,11,Teyon,Reef Entertainment,15380,10427,784,1.19,-1,0,-1
,,,,,,,,,,
Digger Online,6,DiggerWorld Ltd.,DiggerWorld Ltd.,475746,388939,1303,0.82,-1,0,-1
,,,,,,,,,,
Fear For Freedom,8,Grey Gods,Grey Gods,23631,16542,0,0.98,-1,0,-1
,,,,,,,,,,
Two Worlds Epic Edition,28,Reality Pump Studios,Topware Interactive,1091227,547189,15229,2.36,53,56.82,79.9
,,,,,,,,,,
Time Gun / ,,chaosikaros,chaosikaros,795,795,0,0,-1,0,-1
,,,,,,,,,,
Hex Tunnel,,Owlgorithm,Owlgorithm LLC,2363,785,0,0,106,0,-1
,,,,,,,,,,
iOMoon,49,Headtrip Games llc,Headtrip Games llc,2085,1303,0,4.5,228,110,33.33
,,,,,,,,,,
Arms Dealer,7,"Case in Point Studios, LLC","Case in Point Studios, LLC",13653,11028,0,0.9,413,201.75,375.39
,,,,,,,,,,
Angry Video Game Nerd Adventures,67,FreakZone Games,Rooster Teeth Games,137380,113136,1564,8.09,42,50.45,33.97
,,,,,,,,,,
Operation Apex,,Curiscope,Vive Studios,795,795,795,0,-1,0,-1
,,,,,,,,,,
Gon' E-Choo!,51,Marc Ellis,Marc Ellis,10949,7299,0,4.69,411,73.14,62.15
,,,,,,,,,,
Galactic Gallery,,Bearded Eye,Bearded Eye,795,0,0,0,58,1,0
,,,,,,,,,,
AXYOS,11,Axyos Games,Axyos Games,123406,81396,1050,1.13,108,56.74,4.02
,,,,,,,,,,
Fort Defense,33,Creobit,8Floor,81396,12866,0,2.73,108,68.31,172.16
,,,,,,,,,,
Fleet Defender: The F-14 Tomcat Simulation,62,"MicroProse Software, Inc.","Retroism, Nightdive Studios",11553,2363,0,6.5,43,55.14,37.72
,,,,,,,,,,
Not without my donuts,5,"Ben Aprigliano, Stefan Evers","Evilized productions, Different donut",37278,29196,0,0.71,110,65.14,28.98
,,,,,,,,,,
You Must Build A Boat,53,EightyEightGames,EightyEightGames,76669,54351,784,5.04,42,186,28.8
,,,,,,,,,,
Perch,18,Douglas Liang,Fantom Fathom LLC,795,0,0,1.67,399,0,-1
,,,,,,,,,,
Soul Saber 2,28,Yamadaya,Henteko Doujin,8342,7038,0,2.44,108,75.33,400.59
,,,,,,,,,,
Mystery of Unicorn Castle: The Beastmaster,47,Meridian'93,1C Online Games,11028,1838,0,4.2,108,113,580.17
,,,,,,,,,,
Realms of Arkania 1 - Blade of Destiny Classic,21,attic Entertainment Software GmbH,United Independent Entertainment GmbH,49625,28357,0,1.82,410,153.83,11.12
,,,,,,,,,,
Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,97,Humongous Entertainment,"Humongous Entertainment, Nightdive Studios",44374,24944,1570,33.5,18,54.58,463.03
,,,,,,,,,,
IACTURA,18,Merlin Beer,Merlin Beer,36235,34149,7038,1.64,18,42.83,37.34
,,,,,,,,,,
ESports Club,11,"Hangzhou Xinlan Network Technology Co.,Ltd.","Hangzhou Xinlan Network Technology Co.,Ltd.",17855,17067,1973,1.19,108,121,0
,,,,,,,,,,
Xenoraid: The First Space War,71,10tons Ltd,10tons Ltd,3650,2085,0,8.5,42,45.3,11.45
,,,,,,,,,,
Outlands Safehouse,19,Alexis LarrodÌ© Ìlvaro,Mundo Pixelado,795,0,0,1.75,378,0,-1
,,,,,,,,,,
3-in-1 Bundle Brain Trainings,,ALEKSANDER CHEPAIKIN,ALEKSANDER CHEPAIKIN,1184,0,0,0,-1,0,-1
,,,,,,,,,,
Trine 2: Complete Story,95,Frozenbyte,Frozenbyte,2859171,1966592,22679,24.71,12,36.64,80.58
,,,,,,,,,,
Ku: Shroud of the Morrigan,1,bitSmith Games,bitSmith Games,29196,20333,0,0.37,231,171.14,850.15
,,,,,,,,,,
SECTOR,0,UD,UD,59175,5735,0,0.26,-1,0,-1
,,,,,,,,,,
Divinity: Original Sin - Enhanced Edition,74,Larian Studios,Larian Studios,1570148,1034775,59077,9.71,42,58,78.77
,,,,,,,,,,
  / Barrage Musical  ~A Fantasy of Tempest~,97,SlimeSmile,SlimeSmile,2346,2343,778,36,42,37.5,36.12
,,,,,,,,,,
Gary Grigsby's War in the West,89,2by3 Games,Slitherine Ltd.,3676,3151,795,18,42,29,4.5
,,,,,,,,,,
Police Tactics: Imperio,23,CyberphobX Ltd.,astragon Entertainment GmbH,17067,16804,1313,1.96,137,126.33,100.15
,,,,,,,,,,
Strategic Command Classic: WWI,,Fury Software,Slitherine Ltd.,1050,784,0,0,68,0,-1
,,,,,,,,,,
Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,11,Semaphore,Semanoor,35714,21115,0,1.13,108,198.86,5.39
,,,,,,,,,,
Hammerwatch,74,Crackshell,Crackshell,885279,700455,10688,9.31,43,58.85,64.87
,,,,,,,,,,
Caveman Alive,9,Vyacheslav Shilikhin,Vyacheslav Shilikhin,3938,790,785,1.06,125,0,-1
,,,,,,,,,,
Snail Trek - Chapter 1: Intershellar,86,Phil Fortier,Phil Fortier,795,0,0,15.5,71,0,-1
,,,,,,,,,,
Mistake Souls,,Tarkill,Tarkill,20743,1575,1184,0,85,0,-1
,,,,,,,,,,
LocoSoccer,22,Startreming,Startreming,32296,20743,0,1.87,110,45.8,67.42
,,,,,,,,,,
Claws & Feathers,100,Alawar Entertainment,Buka Entertainment,3151,1838,0,37,80,54,37.56
,,,,,,,,,,
Build 'n Bump,30,Roppy Chop Studios,Roppy Chop Studios,8863,5474,0,2.5,79,122,1261.5
,,,,,,,,,,
Eufloria HD,74,"Rudolf Kremers & Alex May, Tuna",Omni Systems,286985,42536,1176,9.69,227,187.4,5471.43
,,,,,,,,,,
Overlord,86,"Triumph Studios, Virtual Programming",Codemasters,1382675,628059,2888,13.3,43,57.87,0.08
,,,,,,,,,,
MotoGP14,8,Milestone S.r.l.,"Plug In Digital, Milestone S.r.l.",22843,20480,784,0.96,144,66.31,46.62
,,,,,,,,,,
Gomo,35,Fishcow Studio,Daedalic Entertainment,130496,62753,795,2.98,53,40.97,51.43
,,,,,,,,,,
Storm,30,Eko Software,Eko Software,26519,16017,0,2.48,61,90.33,77.43
,,,,,,,,,,
EDEN STAR,44,Flix Interactive,Flix Interactive,42536,38597,1838,3.85,227,136.5,2093.06
,,,,,,,,,,
Hyperspeed,23,"MicroProse Software, Inc","Nightdive Studios, Retroism",7614,1569,0,2,25,53.58,17.86
,,,,,,,,,,
Hypnorain,23,keyreal,keyreal,2607,2085,784,2,108,158.67,2987.26
,,,,,,,,,,
Star Trek: Starfleet Command Gold Edition,16,Interplay Entertainment Corp.,Interplay Entertainment Corp.,6564,5514,784,1.53,101,77.33,14.81
,,,,,,,,,,
Supreme Ruler The Great War,37,BattleGoat Studios,BattleGoat Studios,5514,3413,785,3.09,43,36,0
,,,,,,,,,,
PacaPlus,59,PacoProject,Sekai Project,1575,789,0,6,44,68,90.25
,,,,,,,,,,
Freddi Fish and Luther's Maze Madness,78,Humongous Entertainment,"Humongous Entertainment, Nightdive Studios",34134,5776,795,10.67,45,61.45,0.11
,,,,,,,,,,
Final Approach,92,Phaser Lock Interactive,Phaser Lock Interactive,45161,23106,0,20.07,107,71.12,597.28
,,,,,,,,,,
Summer Fling,22,Dharker Studio,Dharker Studio,11815,5776,0,1.86,106,86.6,294.91
,,,,,,,,,,
Mystic Miracles - Strategy card board game,14,LAN - GAMES EOOD,LAN - GAMES EOOD,6564,3151,784,1.43,-1,0,-1
,,,,,,,,,,
Porradaria 2: Pagode of the Night,7,CleanWaterSoft,CleanWaterSoft,58914,25808,0,0.89,79,89.14,2956.41
,,,,,,,,,,
Neon Space 2,35,Just1337 Studio,Just1337 Publisher,123144,77195,2101,2.95,107,50.78,36.89
,,,,,,,,,,
Zenith,39,Infinigon,Badland Games,14966,8140,0,3.17,79,61.14,3.37
,,,,,,,,,,
Five Nights at Freddy's 2,74,Scott Cawthon,Scott Cawthon,571607,426933,8665,9.78,43,58.79,75.16
,,,,,,,,,,
Hacker Series,2,exosyphen studios,exosyphen studios,5251,1184,0,0.45,179,106.33,68.48
,,,,,,,,,,
Kyurinaga's Revenge,67,Recotechnology S.L.,Recotechnology S.L.,789,0,0,8,185,58,0.2
,,,,,,,,,,
Jump To Die!!,27,WnMStudio,WnMStudio,2626,1974,0,2.3,226,86,0
,,,,,,,,,,
War Thunder,51,Gaijin Entertainment,Gaijin Entertainment,13528478,8189450,467894,4.63,-1,0,-1
,,,,,,,,,,
Mara,,Defiant Child Games,Black Shell Media,781,0,0,0,959,0,-1
,,,,,,,,,,
NOT A HERO,67,Roll7,Devolver Digital,174658,126431,2085,7.41,45,51.32,0.01
,,,,,,,,,,
Space Beret,23,Amaterasu Software,Amaterasu Software,397802,320640,4432,1.94,231,246,0
,,,,,,,,,,
Emperor Kingdom,,Carnivore Games,Carnivore Games,795,0,0,0,13,67.6,83.23
,,,,,,,,,,
Armada 2526,13,Ntronium Games,Iceberg Interactive,13916,8402,0,1.27,130,71.7,3.87
,,,,,,,,,,
Zavix Tower,40,Batholith Entertainment,Indie Voyage,9190,6564,0,3.45,25,41.69,38.28
,,,,,,,,,,
Zombeer,49,"Moonbite Games, PadaOne Games",U&I Entertainment,4171,3910,778,4.3,774,37.86,3.37
,,,,,,,,,,
Emerald City Confidential,78,Wadjet Eye Games,PlayFirst,7877,3676,0,10.25,1868,145.4,362.95
,,,,,,,,,,
Flight Sim World,22,Dovetail Games,Dovetail Games,48575,35184,7089,1.92,108,61,84.5
,,,,,,,,,,
Reach Me,,Antizero company,Antizero company,3413,784,0,0,-1,0,-1
,,,,,,,,,,
Defence to death,5,Laush Dmitriy Sergeevich,Laush Studio,80608,78507,784,0.76,129,138,0
,,,,,,,,,,
Snappy Turtle Ultimate,,BitBeamCannon.com,BrashMonkey.com,1176,1176,1176,0,25,0,-1
,,,,,,,,,,
The Flying Turtle Jewel Quest,,Boogygames Studios,Boogygames Studios,795,0,0,0,95,64,0
,,,,,,,,,,
(Adventure Road),12,"WangJianWei, KuangXiang",WangJianWei,7352,2101,0,1.22,-1,0,-1
,,,,,,,,,,
"Libra of the Vampire Princess: Lycoris & Aoi in ""The Promise"" PLUS Iris in ""Homeworld""",,"onomatope*, MiKandi Japan","onomatope*, MiKandi Japan",1050,784,0,0,43,53,0
,,,,,,,,,,
Life is Feudal: Your Own,22,Bitbox Ltd.,Bitbox Ltd.,427259,394413,17205,1.89,129,57.67,70.67
,,,,,,,,,,
Insidia,37,Bad Seed,Bad Seed,54351,31771,1569,3,-1,0,-1
,,,,,,,,,,
Tarim: Guardians,,Dosane Games,Akim Games,33367,32064,778,0,12,57.5,28.12
,,,,,,,,,,
Leona's Tricky Adventures,62,KTX Software,Signo & Arte,17855,1176,0,6.67,107,134.75,1792.51
,,,,,,,,,,
Eurofighter Typhoon,1,Rage Software,"KISS ltd, Funbox Media Ltd",186128,20333,784,0.3,108,50.72,1.31
,,,,,,,,,,
Pilot Brothers,37,1C Wireless,1_Á Company,13128,1313,0,3.12,44,100.64,502.72
,,,,,,,,,,
Dungeon Hearts,21,Cube Roots,Devolver Digital,111066,76932,0,1.85,270,71.81,52.46
,,,,,,,,,,
"About Love, Hate and the other ones",74,Black Pants Studio,Black Pants Studio,76144,47787,0,9.65,12,47.29,1.36
,,,,,,,,,,
Crazy Killer,,Ino-Co Plus,Gaijin inCubator,229746,133909,784,0.85,-1,0,-1
,,,,,,,,,,
Arrow Heads,28,OddBird,OddBird,1176,1176,0,2.35,110,37,0
,,,,,,,,,,
Bionic Dues,37,"Arcen Games, LLC","Arcen Games, LLC",380196,217668,1184,3.08,42,47.88,0.14
,,,,,,,,,,
Through Abandoned,35,Krutovig,Krutovig,25994,2888,0,2.97,107,138.5,9.38
,,,,,,,,,,
Governor of Poker 2,35,I Sioux Game Productions B.V.,Youdagames,20218,12078,795,2.95,226,113.22,422.65
,,,,,,,,,,
Adventures of Robinson Crusoe,11,MagicIndie,MumboJumbo,39122,2363,0,1.21,108,204.2,445.57
,,,,,,,,,,
Trawl,18,"Daniel Gallagher, Nathan Gallardo",House of Wire,789,784,0,1.64,410,115,8
,,,,,,,,,,
Dungeons 3,89,Realmforge Studios,Kalypso Media Digital,69580,64329,7089,17.31,43,64,612.5
,,,,,,,,,,
Darkstar One,47,Ascaron Entertainment ltd.,Strategy First,94107,54743,778,4.19,42,87.93,345.3
,,,,,,,,,,
A City Sleeps,21,"Harmonix Music Systems, Inc","Harmonix Music Systems, Inc",20333,10167,0,1.79,410,94.33,228.35
,,,,,,,,,,
Project Zomboid,65,The Indie Stone,The Indie Stone,872509,837325,27307,6.78,43,69.43,36.2
,,,,,,,,,,
18 Wheels of Steel: Convoy,31,SCS Software,"Retroism, ValuSoft",4989,1575,0,2.67,108,52.5,26.28
,,,,,,,,,,
Undead Souls,,Rootify,Rootify,1589,795,0,0,93,77,0
,,,,,,,,,,
Football Manager 2018,17,Sports Interactive,SEGA,619132,609154,397001,1.63,-1,0,-1
,,,,,,,,,,
Nights of Azure 2: Bride of the New Moon /  ,49,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",3151,2363,795,4.46,109,0,-1
,,,,,,,,,,
Lootfest,30,vikingfabian.com,vikingfabian.com,4989,3151,0,2.47,769,115,3698
,,,,,,,,,,
Lost Eden,86,Cryo Interactive,Interplay,1184,0,0,14,31,46.86,186.62
,,,,,,,,,,
Rocking Pilot,,"Gungrounds, Mad Head Games",Mad Head Games,4432,3389,0,0,80,96,1152
,,,,,,,,,,
Disciples III - Resurrection,3,"Akella, .dat",Kalypso Media Digital,144149,31508,795,0.55,107,79.11,20.76
,,,,,,,,,,
symeCu8e,,forever8pus,forever8pus,3938,0,0,0,110,47,0
,,,,,,,,,,
Just Cause,24,Avalanche Studios,Square Enix,1252060,312037,1303,2.09,226,50.47,0.27
,,,,,,,,,,
Escape This,7,Four Winged Studio,Four Winged Studio,333722,293549,2363,0.89,326,78.5,60.06
,,,,,,,,,,
Guns'n'Stories: Preface VR,86,MIROWIN,MIROWIN,32325,18769,4687,14.5,-1,0,-1
,,,,,,,,,,
Sacraboar,1,Makivision Games,Makivision Games,54351,9978,0,0.4,108,227.09,138.92
,,,,,,,,,,
Save Home,22,BadWolf Games,BadWolf Games,53564,52251,795,1.88,108,65.33,220.02
,,,,,,,,,,
Cosmic Express,95,"Cosmic Engineers, Alan Hazelden, Benjamin Davis, Tyu",Draknek,4464,3151,784,24,42,48.67,439.19
,,,,,,,,,,
Survived By,,Human Head Studios,Digital Extremes,790,0,0,0,-1,0,-1
,,,,,,,,,,
Bug Killers,14,Light Road Games,Light Road Games,4726,1579,1570,1.43,108,56,0
,,,,,,,,,,
Serious Sam HD: The First Encounter,86,Croteam,Devolver Digital,1208526,791173,7820,15.63,412,41.38,44.76
,,,,,,,,,,
Worlds of Chaos: Invasion,47,Tactichaos,Tactichaos,7089,785,0,4,410,158,11704.5
,,,,,,,,,,
Sunset Rangers,21,www.fishermangamedev.com,www.fishermangamedev.com,16162,3389,781,1.8,109,60,115.2
,,,,,,,,,,
Shape Shifter,8,PRORTUS,Back To Basics Gaming,279896,235260,1184,0.95,108,68.14,35.92
